Issue Type,Issue ID,Summary,Description,Epic Name,Epic Link,Parent Issue ID,Acceptance Criteria,Priority,Effort Estimate
Epic,EPIC-2,Increase Sales,This epic includes user stories that focus on improving the sales process,Increase Sales,,,Increase sales to 50 books per day,High,15
Epic,EPIC-3,Marketing Strategy,This epic includes user stories that focus on implementing a marketing strategy,Marketing Strategy,,,Implement a marketing strategy to reach the desired state,High,12
Story,US-2,Track sales performance in real-time,"As a sales manager, I want to be able to track sales performance in real-time so that I can make informed decisions.",Increase Sales,EPIC-2,,Sales performance is displayed in real-time,High,8
Story,US-3,Access customer information and sales history,"As a sales representative, I want to be able to access customer information and sales history so that I can provide personalized service.",Increase Sales,EPIC-2,,Customer information and sales history are accessible,Medium,5
Story,US-4,Analyze sales data and adjust marketing campaigns,"As a marketing manager, I want to be able to analyze sales data and adjust marketing campaigns accordingly so that I can optimize marketing efforts.",Increase Sales,EPIC-2,,Sales data is analyzed and marketing campaigns are adjusted,High,10
Story,US-5,Create and schedule social media posts,"As a marketing manager, I want to be able to create and schedule social media posts so that I can increase brand awareness.",Marketing Strategy,EPIC-3,,Social media posts are created and scheduled,Medium,5
Story,US-6,Access analytics on content performance,"As a content creator, I want to be able to access analytics on content performance so that I can refine content strategy.",Marketing Strategy,EPIC-3,,Analytics on content performance are accessible,Low,3
Story,US-7,Track the effectiveness of marketing campaigns,"As a campaign manager, I want to be able to track the effectiveness of marketing campaigns so that I can make data-driven decisions.",Marketing Strategy,EPIC-3,,Effectiveness of marketing campaigns is tracked,High,8
Task,T-2-1,Design the sales performance tracking dashboard,,Increase Sales,EPIC-2,US-2,,High,2
Task,T-2-2,Develop the sales performance tracking feature,,Increase Sales,EPIC-2,US-2,,High,3
Task,T-2-3,Test the sales performance tracking feature,,Increase Sales,EPIC-2,US-2,,High,2
Task,T-3-1,Design the customer information and sales history database,,Increase Sales,EPIC-2,US-3,,Medium,2
Task,T-3-2,Develop the customer information and sales history feature,,Increase Sales,EPIC-2,US-3,,Medium,2
Task,T-3-3,Test the customer information and sales history feature,,Increase Sales,EPIC-2,US-3,,Medium,1
Task,T-4-1,Design the sales data analysis and marketing campaign adjustment feature,,Increase Sales,EPIC-2,US-4,,High,3
Task,T-4-2,Develop the sales data analysis and marketing campaign adjustment feature,,Increase Sales,EPIC-2,US-4,,High,4
Task,T-4-3,Test the sales data analysis and marketing campaign adjustment feature,,Increase Sales,EPIC-2,US-4,,High,3
Task,T-5-1,Design the social media post creation and scheduling feature,,Marketing Strategy,EPIC-3,US-5,,Medium,2
Task,T-5-2,Develop the social media post creation and scheduling feature,,Marketing Strategy,EPIC-3,US-5,,Medium,2
Task,T-5-3,Test the social media post creation and scheduling feature,,Marketing Strategy,EPIC-3,US-5,,Medium,1
Task,T-6-1,Design the content performance analytics feature,,Marketing Strategy,EPIC-3,US-6,,Low,1
Task,T-6-2,Develop the content performance analytics feature,,Marketing Strategy,EPIC-3,US-6,,Low,1
Task,T-6-3,Test the content performance analytics feature,,Marketing Strategy,EPIC-3,US-6,,Low,1
Task,T-7-1,Design the marketing campaign effectiveness tracking feature,,Marketing Strategy,EPIC-3,US-7,,High,3
Task,T-7-2,Develop the marketing campaign effectiveness tracking feature,,Marketing Strategy,EPIC-3,US-7,,High,3
Task,T-7-3,Test the marketing campaign effectiveness tracking feature,,Marketing Strategy,EPIC-3,US-7,,High,2
